category_code,year,value,source_label
REV,2016,12000.0,ILLUSTRATIVE
REV,2017,12731.215,ILLUSTRATIVE
REV,2018,13538.795,ILLUSTRATIVE
REV,2019,14504.411,ILLUSTRATIVE
REV,2020,15437.024,ILLUSTRATIVE
REV,2021,16329.472,ILLUSTRATIVE
REV,2022,17505.398,ILLUSTRATIVE
REV,2023,18567.032,ILLUSTRATIVE
REV,2024,19823.764,ILLUSTRATIVE
REV,2025,20765.707,ILLUSTRATIVE
MAT,2016,853.887,ILLUSTRATIVE
MAT,2017,878.115,ILLUSTRATIVE
MAT,2018,918.443,ILLUSTRATIVE
MAT,2019,960.296,ILLUSTRATIVE
MAT,2020,1038.722,ILLUSTRATIVE
MAT,2021,1063.608,ILLUSTRATIVE
MAT,2022,1118.82,ILLUSTRATIVE
MAT,2023,1174.555,ILLUSTRATIVE
MAT,2024,1251.982,ILLUSTRATIVE
MAT,2025,1298.762,ILLUSTRATIVE
EXT,2016,626.55,ILLUSTRATIVE
EXT,2017,658.43,ILLUSTRATIVE
EXT,2018,720.025,ILLUSTRATIVE
EXT,2019,719.75,ILLUSTRATIVE
EXT,2020,757.268,ILLUSTRATIVE
EXT,2021,790.472,ILLUSTRATIVE
EXT,2022,861.275,ILLUSTRATIVE
EXT,2023,913.737,ILLUSTRATIVE
EXT,2024,945.377,ILLUSTRATIVE
EXT,2025,974.421,ILLUSTRATIVE
PERS,2016,9503.936,ILLUSTRATIVE
PERS,2017,10063.168,ILLUSTRATIVE
PERS,2018,10488.942,ILLUSTRATIVE
PERS,2019,10932.852,ILLUSTRATIVE
PERS,2020,11254.321,ILLUSTRATIVE
PERS,2021,11814.267,ILLUSTRATIVE
PERS,2022,12346.465,ILLUSTRATIVE
PERS,2023,12875.115,ILLUSTRATIVE
PERS,2024,13532.015,ILLUSTRATIVE
PERS,2025,13948.65,ILLUSTRATIVE
OTH,2016,877.018,ILLUSTRATIVE
OTH,2017,975.862,ILLUSTRATIVE
OTH,2018,1076.112,ILLUSTRATIVE
OTH,2019,1196.076,ILLUSTRATIVE
OTH,2020,1275.842,ILLUSTRATIVE
OTH,2021,1360.083,ILLUSTRATIVE
OTH,2022,1415.761,ILLUSTRATIVE
OTH,2023,1489.992,ILLUSTRATIVE
OTH,2024,1559.635,ILLUSTRATIVE
OTH,2025,1644.312,ILLUSTRATIVE
DEPR,2016,63.94,ILLUSTRATIVE
DEPR,2017,143.78,ILLUSTRATIVE
DEPR,2018,206.76,ILLUSTRATIVE
DEPR,2019,282.86,ILLUSTRATIVE
DEPR,2020,366.08,ILLUSTRATIVE
DEPR,2021,392.3,ILLUSTRATIVE
DEPR,2022,407.34,ILLUSTRATIVE
DEPR,2023,443.78,ILLUSTRATIVE
DEPR,2024,460.14,ILLUSTRATIVE
DEPR,2025,471.94,ILLUSTRATIVE
